col_name,meaning
FL715,NO OCCASIONS (30 DAY): VAPE MARIJUANA
U10,NO OCCASIONS (LIFETIME): INHALANTS
U11,NO OCCASIONS (30 DAYS): INHALANTS
U16,NO OCCASIONS (LIFETIME): METHAMPHETAMINE
U17,NO OCCASIONS (30 DAY): METHAMPHETAMINE
FL49,NO OCCASIONS (LIFETIME): CLUB DRUGS
FL50,NO OCCASIONS (30 DAY): CLUB DRUGS
FL66,NO OCCASIONS (LIFETIME): LSD+
FL67,NO OCCASIONS (30 DAYS): LSD+
FL51,NO OCCASIONS (LIFETIME): COCAINE OR CRACK
FL52,NO OCCASIONS (30 DAY): COCAINE OR CRACK
U30X,NO OCCASIONS (LIFETIME): DEPRESSANTS
U31X,NO OCCASIONS (30 DAYS): DEPRESSANTS
FL46,NO OCCASIONS (LIFETIME): PRESCRIPTION PAIN RELIEVERS
FL47,NO OCCASIONS (30 DAYS): PRESCRIPTION PAIN RELIEVERS
FL55,NO OCCASIONS (LIFETIME): OVER-THE-COUNTER DRUGS
FL56,NO OCCASIONS (30 DAY): OVER-THE-COUNTER DRUGS
FL24,NO OCCASIONS (LIFETIME): AMPHETAMINES (RITALIN or ADDERALL)
FL25,NO OCCASIONS (30 DAY): AMPHETAMINES (RITALIN or ADDERALL)
U24,NO OCCASIONS (LIFETIME): HEROIN
U25,NO OCCASIONS (30 DAYS): HEROIN
FL502,DO WHAT BRINGS ME PLEASURE NO MATTER WHAT
FL503,MORE CONCERNED WITH SHORT RUN THAN LONG RUN
FL504,EXCITING TO DO THINGS THAT GET ME IN TROUBLE
FL505,EXCITEMENT AND ADVENTURE MORE IMPORTANT THAN SECURITY
FL506,STAY OUT OF MY WAY WHEN I AM ANGRY
FL507,HARD TO TALK CALMLY WHEN HAVING A SERIOUS DISAGREEMENT
Q25,HOW EASY TO GET ALCOHOL?
Q26,HOW EASY TO GET CIGARETTES?
Q28,HOW EASY TO GET HARD DRUGS?
Q30,HOW EASY TO GET HANDGUN?
Q32,HOW EASY TO GET MARIJUANA?
Q27,WOULD KID BE CAUGHT SMOKING MARIJUANA?
Q29,WOULD KID BE CAUGHT DRINKING ALCOHOL?
Q33A,HOW WRONG NEIGHBORHOOD ADULTS THINK: KIDS USING MARIJUANA
Q33B,HOW WRONG NEIGHBORHOOD ADULTS THINK: KIDS USING ALCOHOL
Q33C,HOW WRONG NEIGHBORHOOD ADULTS THINK: KIDS USING CIGARETTE
Q103A,NEIGHBORHOOD HAS: CRIME AND DRUGS
Q103B,NEIGHBORHOOD HAS: FIGHTS
Q103C,NEIGHBORHOOD HAS: LOTS OF ABANDONED BUILDINGS
Q103D,NEIGHBORHOOD HAS: LOTS OF GRAFFITI
Q104,HOW MANY TIMES CHANGED HOMES SINCE KINDERGARTEN
Q106,HAVE YOU CHANGED SCHOOLS IN PAST YEAR
Q108,HOW MANY TIMES CHANGED SCHOOLS SINCE KINGERGARTEN
Q110,CHANGED HOMES IN PAST YEAR
Q107,I FEEL SAFE IN MY NEIGHBORHOOD
Q66A,NUMBER OF TIMES (12 MOS): BEEN SUSPENDED
Q66B,NUMBER OF TIMES (12 MOS): CARRIED HANDGUN
Q66C,NUMBER OF TIMES (12 MOS): SOLD ILLEGAL DRUGS
